model_name,scenario,variable_group,naming_convention,var_frq,table_id
BCMM,ssp,ATM,atm_SCENARIO_YYYY_MM.nc4,6h*,
BCMM,ssp,LND,lnd.SCENARIO.YYYYMM.nc,1M,
MPI-ESM1-2-HR,ssp,SSP,CMIP6ATMLND,6h*,
MPI-ESM1-2-HR,hist,HIST,CMIP6ATMLND,6h*,
EC-Earth3,ssp,LEV,,6h,
EC-Earth3,historical,LEV,,6h*,6hrLev
EC-Earth3,historical,PLEV6H,,6h,6hrPlevPt
EC-Earth3,historical,SURF3H,,3h,3hrPlevPt
CESM2,hist,fx,,fx,fx
CESM2,hist,6hrLev,,6h*,6hrLev
CESM2,hist,6hrPlevPt,,6h,6hrPlevPt
CESM2,hist,3hr,,3h,3hr
CESM2,hist,Amon,,1M,Amon
CESM2,hist,day,,1D,Oday
CESM2,hist,Lmon,,1M,Lmon
CESM2,ssp,fx,,fx,fx
CESM2,ssp,6hrLev,,6h*,6hrLev
CESM2,ssp,6hrPlev,,6h,6hrPlev
CESM2,ssp,daySurf,,1D,day
CESM2,ssp,Amon,,1M,Amon
CESM2,ssp,Oday,,1D,Oday
CESM2,ssp,Lmon,,1M,Lmon
