src_v,aim_v,units,type,desc
ta,TT,K,3d,3-d air temperature
hus,SPECHUMD,kg kg-1,3d,3-d specific humidity
ua,UU,m s-1,3d, 3-d wind u-component
va,VV,m s-1,3d, 3-d wind v-component
zg,GHT,m,3d, 3-d geopotential height
ps,PSFC,Pa,2d, Surface pressure
psl,PMSL,Pa,2d, Mean sea-level pressure
ts,SKINTEMP, K,2d, Skin temperature
orog,SOILHEIGHT,m,2d-static, soil height
tas,TT,K,2d, 2-m temperature
huss,SPECHUMD, kg kg-1,2d, 2-m relative humidity
uas,UU,2d, 10-m wind u-component
vas,VV,2d, 10-m wind v-component
sftlf,LANDSEA,frac, 2d-static, land-sea mask (0=water)
mrsol,SM, m3/m-3,3d-soil, soil moisture
tsl,ST,K,3d-soil, soil temp


